vertical,class_code,class_of_business,lines_of_business,gl_eligible,excess_eligible,property_eligible,cyber_eligible,package_eligible,submissions_12m,auto_quoted_12m,bound_12m,auto_quote_rate_pct,bind_rate_pct,appetite_note
Contractors,94007,Excavation,"Excess Standalone, GL",YES,YES,NO,NO,NO,942,599,205,63.6,27.3,"Strong appetite – high volume, strong conversion"
Contractors,97047,Landscape Gardening,"Excess Standalone, GL",YES,YES,NO,NO,NO,896,593,181,66.2,25.2,"Strong appetite – high volume, strong conversion"
Contractors,99507,"Swimming Pools–Installation, Servicing or Repair–Below Ground","Excess Standalone, GL",YES,YES,NO,NO,NO,709,530,215,74.8,32.8,"Strong appetite – high volume, strong conversion"
Contractors,98967,Siding Installation,"Excess Standalone, GL",YES,YES,NO,NO,NO,675,498,213,73.8,34.9,"Strong appetite – high volume, strong conversion"
Contractors,95647,"Heating or Combined Heating and Air Conditioning Systems or Equipment–Dealers or Distributors and Installation, Servicing or Repair–No Liquefied Petroleum Gas (LPG) Equipment Sales or Work","Excess Standalone, GL",YES,YES,NO,NO,NO,646,465,126,72.0,23.2,"Strong appetite – high volume, strong conversion"
Contractors,92338,Drywall or Wallboard Installation,"Excess Standalone, GL",YES,YES,NO,NO,NO,618,448,168,72.5,30.0,"Strong appetite – high volume, strong conversion"
Contractors,98304,Painting–Exterior–Buildings or Structures–Three Stories or Less in Height,"Excess Standalone, GL",YES,YES,NO,NO,NO,591,437,148,73.9,27.9,"Strong appetite – high volume, strong conversion"
Contractors,97050,Lawn Care Services,"Excess Standalone, GL",YES,YES,NO,NO,NO,589,393,132,66.7,27.2,"Strong appetite – high volume, strong conversion"
Contractors,94569,Floor Covering Installation–Not Ceramic Tile or Stone,"Excess Standalone, GL",YES,YES,NO,NO,NO,477,375,107,78.6,25.1,"Strong appetite – high volume, strong conversion"
Contractors,95410,Grading of Land,"Excess Standalone, GL",YES,YES,NO,NO,NO,539,371,147,68.8,30.7,"Strong appetite – high volume, strong conversion"
Contractors,98677,Roofing–Commercial or Residential over Three Stories,"Excess Standalone, GL",YES,YES,NO,NO,NO,526,359,56,68.3,14.0,Strong appetite – high volume
Contractors,99746,"Tile, Stone, Marble, Mosaic or Terrazzo Work–Interior Construction","Excess Standalone, GL",YES,YES,NO,NO,NO,440,349,108,79.3,26.8,"Strong appetite – high volume, strong conversion"
Contractors,92215,"Driveway, Parking Area or Sidewalk–Paving or Repaving","Excess Standalone, GL",YES,YES,NO,NO,NO,455,324,101,71.2,26.6,"Strong appetite – high volume, strong conversion"
Contractors,97447,Masonry,"Excess Standalone, GL",YES,YES,NO,NO,NO,423,296,104,70.0,29.4,"Strong appetite – high volume, strong conversion"
Contractors,91155,"Appliances and Accessories–Installation, Servicing or Repair–Household","Excess Standalone, GL",YES,YES,NO,NO,NO,350,281,42,80.3,13.6,Strong appetite – high volume
Contractors,91746,"Door, Window or Assembled Millwork–Installation–Metal","Excess Standalone, GL",YES,YES,NO,NO,NO,395,273,64,69.1,20.3,"Strong appetite – high volume, strong conversion"
Contractors,43470,Pest Control Services,"Excess Standalone, GL",YES,YES,NO,NO,NO,577,268,78,46.4,20.3,"Strong appetite – high volume, strong conversion"
Contractors,98482,Plumbing–Commercial and Industrial,"Excess Standalone, GL",YES,YES,NO,NO,NO,386,246,55,63.7,18.6,Strong appetite – high volume
Contractors,95648,"Heating or Combined Heating and Air Conditioning Systems or Equipment–Dealers or Distributors and Installation, Servicing or Repair","Excess Standalone, GL",YES,YES,NO,NO,NO,329,244,51,74.2,18.1,Strong appetite – high volume
Contractors,91629,Debris Removal–Construction Site,"Excess Standalone, GL",YES,YES,NO,NO,NO,362,241,78,66.6,26.5,"Strong appetite – high volume, strong conversion"
Contractors,91577,Conduit Construction for Cables or Wires,"Excess Standalone, GL",YES,YES,NO,NO,NO,346,237,66,68.5,24.4,"Strong appetite – high volume, strong conversion"
Contractors,91342,Carpentry,"Excess Standalone, GL",YES,YES,NO,NO,NO,338,221,37,65.4,14.4,Strong appetite – high volume
Contractors,97223,"Machinery or Equipment–Installation, Servicing or Repair","Excess Standalone, GL",YES,YES,NO,NO,NO,428,214,39,50.0,15.1,Strong appetite – high volume
Contractors,99080,Solar Energy Contractors,"Excess Standalone, GL",YES,YES,NO,NO,NO,292,203,65,69.5,25.9,"Strong appetite – high volume, strong conversion"
Contractors,99505,Swimming Pool Servicing,"Excess Standalone, GL",YES,YES,NO,NO,NO,259,200,104,77.2,41.1,"Strong appetite – high volume, strong conversion"
Contractors,94276,Fence Erection Contractors,"Excess Standalone, GL",YES,YES,NO,NO,NO,256,188,45,73.4,20.5,"Strong appetite – high volume, strong conversion"
Contractors,99984,Gutter Installation,"Excess Standalone, GL",YES,YES,NO,NO,NO,259,179,76,69.1,33.0,"Strong appetite – high volume, strong conversion"
Contractors,91111,"Air Conditioning Systems or Equipment–Dealers or Distributors and Installation, Servicing or Repair","Excess Standalone, GL",YES,YES,NO,NO,NO,249,174,58,69.9,28.0,"Strong appetite – high volume, strong conversion"
Contractors,99613,"Telephone, Telegraph, or Cable Television Line Construction","Excess Standalone, GL",YES,YES,NO,NO,NO,220,171,44,77.7,23.9,"Strong appetite – high volume, strong conversion"
Contractors,91127,"Alarms and Alarm Systems–Installation, Servicing or Repair","Excess Standalone, GL",YES,YES,NO,NO,NO,262,164,47,62.6,23.0,"Strong appetite – high volume, strong conversion"
Contractors,98449,Plastering or Stucco Work,"Excess Standalone, GL",YES,YES,NO,NO,NO,209,163,28,78.0,15.7,Strong appetite – high volume
Contractors,92451,"Electrical Apparatus–Installation, Servicing or Repair","Excess Standalone, GL",YES,YES,NO,NO,NO,272,154,40,56.6,22.0,"Strong appetite – high volume, strong conversion"
Contractors,91583,"Contractors–Subcontracted Work–In Connection with Building Construction, Reconstruction, Repair or Erection–One- or Two-Family Dwellings","Excess Standalone, GL",YES,YES,NO,NO,NO,239,132,49,55.2,24.9,"Strong appetite – high volume, strong conversion"
Contractors,99975,Window Cleaning,"Excess Standalone, GL",YES,YES,NO,NO,NO,213,131,34,61.5,19.8,Strong appetite – high volume
Contractors,99986,Wrecking–Buildings or Structures,"Excess Standalone, GL",YES,YES,NO,NO,NO,171,116,14,67.8,10.9,Strong appetite – high volume
Contractors,91551,Communication Equipment Installation–Industrial or Commercial,"Excess Standalone, GL",YES,YES,NO,NO,NO,162,114,35,70.4,27.6,"Strong appetite – high volume, strong conversion"
Contractors,97655,Metal Erection–Structural,"Excess Standalone, GL",YES,YES,NO,NO,NO,168,108,14,64.3,11.7,Strong appetite – high volume
