vertical,class_code,class_of_business,lines_of_business,gl_eligible,excess_eligible,property_eligible,cyber_eligible,package_eligible,submissions_12m,auto_quoted_12m,bound_12m,auto_quote_rate_pct,bind_rate_pct,appetite_note
Monoline Property,67634,"Shopping Centers–Indoor Malls–Buildings, or Premises Not Occupied by the Insured (Lessor’s Risk Only)",Property,NO,NO,YES,NO,NO,26,8,3,30.8,37.5,Limited appetite – low volume
Monoline Property,10204,Books and Magazines Stores–Other Than Not-For-Profit,Property,NO,NO,YES,NO,NO,12,7,0,58.3,0.0,Limited appetite – low volume
Monoline Property,18335,Stationery or Paper Products Stores,Property,NO,NO,YES,NO,NO,29,7,1,24.1,12.5,Limited appetite – low volume
Monoline Property,46622,Parking–Private,Property,NO,NO,YES,NO,NO,60,7,2,11.7,25.0,Limited appetite – low volume
Monoline Property,12510,Fabric Stores,Property,NO,NO,YES,NO,NO,14,6,0,42.9,0.0,Limited appetite – low volume
Monoline Property,10309,Camera and Photographic Equipment Stores,Property,NO,NO,YES,NO,NO,9,5,1,55.6,16.7,Limited appetite – low volume
Monoline Property,16905,Restaurants – Bring Your Own Alcohol – with No Sale of Alcoholic Beverages – with Table Service,Property,NO,NO,YES,NO,NO,20,5,0,25.0,0.0,Limited appetite – low volume
Monoline Property,10352,Candy or Confectionery Stores,Property,NO,NO,YES,NO,NO,20,4,1,20.0,25.0,Limited appetite – low volume
Monoline Property,16403,Pet Stores,Property,NO,NO,YES,NO,NO,27,4,1,14.8,25.0,Limited appetite – low volume
Monoline Property,16921,Restaurants–with Sale of Alcoholic Beverages that are 75% or More of Total Annual Receipts of the Restaurants–with Tables–with Dance Floor: No Table Service,Property,NO,NO,YES,NO,NO,32,4,0,12.5,0.0,Limited appetite – low volume
Monoline Property,46604,Parking–Public–Open Air,Property,NO,NO,YES,NO,NO,22,4,1,18.2,25.0,Limited appetite – low volume
Monoline Property,15538,Musical Instrument Stores,Property,NO,NO,YES,NO,NO,6,3,0,50.0,0.0,Limited appetite – low volume
Monoline Property,18110,Shoe Stores,Property,NO,NO,YES,NO,NO,11,2,2,18.2,66.7,Edge / rare class – verify eligibility before quoting
Monoline Property,16820,Restaurants–Operated by Concessionaires–Not-For-Profit Only,Property,NO,NO,YES,NO,NO,7,1,0,14.3,0.0,Edge / rare class – verify eligibility before quoting
Monoline Property,16906,Restaurants – Bring Your Own Alcohol Establishments – with No Sale of Alcoholic Beverages – without Table Service with Seating,Property,NO,NO,YES,NO,NO,3,1,0,33.3,0.0,Edge / rare class – verify eligibility before quoting
Monoline Property,46603,Parking–Public–Not Open Air,Property,NO,NO,YES,NO,NO,5,1,0,20.0,0.0,Edge / rare class – verify eligibility before quoting
Restaurants,16910,Restaurants–with Sale of Alcoholic Beverages that are Less Than 30% of the Annual Receipts of the Restaurants–with Table Service,"GL, Package",YES,NO,NO,NO,YES,1755,927,49,52.8,5.0,Strong appetite – high volume
Restaurants,16900,Restaurants–with No Sale of Alcoholic Beverages–with Table Service,"GL, Package",YES,NO,NO,NO,YES,1281,806,47,62.9,5.4,Strong appetite – high volume
Restaurants,16901,Restaurants–with No Sale of Alcoholic Beverages–without Table Service with Seating,"GL, Package",YES,NO,NO,NO,YES,1186,767,37,64.7,4.4,Strong appetite – high volume
Restaurants,16916,Restaurants–with Sale of Alcoholic Beverages that are 30% or More of But Less Than 75% of the Total Annual Receipts of the Restaurants–without Dance Floor,"GL, Package",YES,NO,NO,NO,YES,885,480,54,54.2,10.1,Strong appetite – high volume
Restaurants,16930,Restaurants–with Sale of Alcoholic Beverages that are 75% or More of Total Annual Receipts of the Restaurants–with Tables–without Dance Floor: Table Service,"GL, Package",YES,NO,NO,NO,YES,559,313,37,56.0,10.5,Strong appetite – high volume
Restaurants,16902,Restaurants–with No Sale of Alcoholic Beverages–without Seating,"GL, Package",YES,NO,NO,NO,YES,292,187,10,64.0,5.0,Strong appetite – high volume
Restaurants,16941,Restaurants–with Sale of Alcoholic Beverages that are 75% or More of Total Annual Receipts of the Restaurants–Bar Service Only (No Tables): without Dance Floor,"GL, Package",YES,NO,NO,NO,YES,316,187,21,59.2,10.4,Strong appetite – high volume
Restaurants,16911,Restaurants–with Sale of Alcoholic Beverages that are Less Than 30% of the Annual Receipts of the Restaurants–without Table Service with Seating,"GL, Package",YES,NO,NO,NO,YES,282,159,8,56.4,4.8,Strong appetite – high volume
Restaurants,16915,Restaurants–with Sale of Alcoholic Beverages that are 30% or More of But Less Than 75% of the Total Annual Receipts of the Restaurants–with Dance Floor,"GL, Package",YES,NO,NO,NO,YES,264,118,5,44.7,3.8,Strong appetite – high volume
